image_name,split
UIEB_0.png,train
UIEB_10.png,train
UIEB_100.png,train
UIEB_102.png,train
UIEB_103.png,train
UIEB_104.png,train
UIEB_105.png,train
UIEB_106.png,train
UIEB_107.png,train
UIEB_108.png,train
UIEB_109.png,train
UIEB_111.png,train
UIEB_112.png,train
UIEB_113.png,train
UIEB_114.png,train
UIEB_115.png,train
UIEB_118.png,train
UIEB_119.png,train
UIEB_12.png,train
UIEB_120.png,train
UIEB_121.png,train
UIEB_123.png,train
UIEB_124.png,train
UIEB_125.png,train
UIEB_126.png,train
UIEB_128.png,train
UIEB_130.png,train
UIEB_131.png,train
UIEB_132.png,train
UIEB_133.png,train
UIEB_135.png,train
UIEB_136.png,train
UIEB_137.png,train
UIEB_138.png,train
UIEB_139.png,train
UIEB_14.png,train
UIEB_141.png,train
UIEB_142.png,train
UIEB_143.png,train
UIEB_144.png,train
UIEB_146.png,train
UIEB_147.png,train
UIEB_148.png,train
UIEB_149.png,train
UIEB_15.png,train
UIEB_151.png,train
UIEB_152.png,train
UIEB_153.png,train
UIEB_155.png,train
UIEB_157.png,train
UIEB_158.png,train
UIEB_159.png,train
UIEB_16.png,train
UIEB_160.png,train
UIEB_161.png,train
UIEB_163.png,train
UIEB_164.png,train
UIEB_165.png,train
UIEB_166.png,train
UIEB_167.png,train
UIEB_168.png,train
UIEB_169.png,train
UIEB_17.png,train
UIEB_171.png,train
UIEB_172.png,train
UIEB_173.png,train
UIEB_174.png,train
UIEB_176.png,train
UIEB_178.png,train
UIEB_179.png,train
UIEB_18.png,train
UIEB_181.png,train
UIEB_182.png,train
UIEB_183.png,train
UIEB_185.png,train
UIEB_186.png,train
UIEB_189.png,train
UIEB_19.png,train
UIEB_191.png,train
UIEB_192.png,train
UIEB_195.png,train
UIEB_196.png,train
UIEB_197.png,train
UIEB_198.png,train
UIEB_199.png,train
UIEB_20.png,train
UIEB_200.png,train
UIEB_201.png,train
UIEB_202.png,train
UIEB_203.png,train
UIEB_204.png,train
UIEB_205.png,train
UIEB_206.png,train
UIEB_21.png,train
UIEB_210.png,train
UIEB_211.png,train
UIEB_212.png,train
UIEB_216.png,train
UIEB_217.png,train
UIEB_218.png,train
UIEB_22.png,train
UIEB_220.png,train
UIEB_221.png,train
